Date,Open,High,Low,Close,Volume,AdjClose
2022-05-19,139.89,141.66,136.6,137.35,106384505.0,134.9
2022-05-20,139.07,140.7,132.61,137.59,107421893.0,135.13
2022-05-23,137.79,143.26,137.65,143.11,92605239.0,140.55
2022-05-24,140.83,141.97,137.33,140.36,84602216.0,137.85
2022-05-25,138.44,141.79,138.34,140.52,70320990.0,138.01
2022-05-26,137.39,144.34,137.14,143.78,66880305.0,141.21
2022-05-27,145.39,149.68,145.26,149.64,68105153.0,146.97
2022-05-31,149.03,150.66,146.84,148.84,64486024.0,146.18
2022-06-01,149.91,151.74,147.68,148.71,57675000.0,146.05
2022-06-02,147.81,151.27,146.86,151.21,54654301.0,148.51
2022-06-03,146.89,147.97,144.46,145.38,66261643.0,142.78
2022-06-06,146.95,148.57,144.9,146.14,56462204.0,143.53
2022-06-07,144.38,149.0,144.1,148.71,51273128.0,146.05
2022-06-08,148.51,149.87,147.46,147.96,41909176.0,145.32
2022-06-09,147.09,147.95,142.53,142.64,52347279.0,140.09
2022-06-10,140.28,140.76,137.06,137.13,67187205.0,134.68
2022-06-13,132.86,135.2,131.44,131.88,91359086.0,129.52
2022-06-14,133.1,133.89,131.48,132.76,62854505.0,130.39
2022-06-15,134.21,137.34,132.16,135.43,68733160.0,133.01
2022-06-16,132.08,132.39,129.04,130.06,74399107.0,127.74
2022-06-17,130.07,133.08,129.81,131.56,86358190.0,129.21
2022-06-21,133.42,137.05,133.32,135.87,57651864.0,133.44
2022-06-22,134.84,137.76,133.91,135.35,53860709.0,132.93
2022-06-23,136.83,138.59,135.63,138.27,54212881.0,135.8
2022-06-24,139.9,141.91,139.77,141.66,51857544.0,139.13
2022-06-27,142.68,143.49,140.96,141.66,47638772.0,139.13
2022-06-28,142.17,143.43,137.32,137.44,49930490.0,134.99
2022-06-29,137.48,140.67,136.67,139.23,52512525.0,136.74
2022-06-30,137.22,138.37,133.77,136.72,68929852.0,134.28
2022-07-01,136.2,139.04,135.66,138.93,52461724.0,136.45
2022-07-05,137.77,141.61,136.93,141.56,53401575.0,139.03
2022-07-06,141.33,144.12,141.08,142.92,57314246.0,140.37
2022-07-07,143.27,146.55,143.27,146.35,49886460.0,143.74
2022-07-08,145.21,147.55,145.0,147.04,51393650.0,144.41
2022-07-11,145.71,146.64,143.78,144.87,43878003.0,142.28
2022-07-12,145.83,148.45,145.05,145.86,58580126.0,143.26
2022-07-13,142.99,146.45,142.12,145.49,50583920.0,142.89
2022-07-14,144.09,148.95,143.25,148.47,60879667.0,145.82
2022-07-15,149.82,150.86,148.2,150.17,55472678.0,147.49
2022-07-18,150.75,151.57,146.7,147.07,60692283.0,144.44
2022-07-19,147.93,151.23,146.91,151.0,59077983.0,148.3
2022-07-20,151.07,153.72,150.37,153.04,49598813.0,150.31
2022-07-21,154.56,155.57,151.94,155.35,47477793.0,152.58
2022-07-22,155.39,156.28,153.41,154.09,50924150.0,151.34
2022-07-25,154.01,155.04,152.28,152.95,40900326.0,150.22
2022-07-26,152.26,153.09,150.8,151.6,39639710.0,148.89
2022-07-27,152.55,157.33,152.16,156.79,52854895.0,153.99
2022-07-28,156.98,157.64,154.41,157.35,51866668.0,154.54
2022-07-29,161.24,163.63,159.5,162.51,68695588.0,159.61
2022-08-01,161.01,163.59,160.89,161.51,46192783.0,158.63
2022-08-02,160.11,162.41,159.63,160.01,42690206.0,157.15
2022-08-03,160.84,166.59,160.75,166.13,58706333.0,163.16
2022-08-04,166.01,167.19,164.43,165.81,40438699.0,162.85
2022-08-05,163.23,165.85,163.0,165.35,41333126.0,162.62
2022-08-08,166.37,167.81,164.2,164.87,39581359.0,162.15
2022-08-09,164.01,165.82,163.25,164.92,42801907.0,162.2
2022-08-10,167.66,169.34,166.9,169.24,49248193.0,166.45
2022-08-11,170.06,170.99,168.19,168.49,41336027.0,165.71
2022-08-12,169.84,172.17,169.4,172.1,48828375.0,169.26
2022-08-15,171.51,173.39,171.34,173.19,36483134.0,170.33
2022-08-16,172.77,173.71,171.66,173.03,40015046.0,170.18
